âgé	adjective	fr	vell	adjective	ca	Y
défavorable	adjective	fr	hostil	adjective	ca	Y
choléra	noun	fr	ira	noun	ca	N
Andreo	properNoun	fr	Andrés	properNoun	ca	N
Joan	properNoun	fr	Jean	properNoun	ca	N
grille	noun	fr	graella	noun	ca	Y
Alberta	properNoun	fr	Albert	properNoun	ca	N
commencer	verb	fr	dirigir	verb	ca	N
action	noun	fr	acte	noun	ca	Y
gratitude	noun	fr	gratitud	noun	ca	Y
absurde	adjective	fr	forassenyat	adjective	ca	Y
Jaime	properNoun	fr	Jaume	properNoun	ca	Y
emplacement	noun	fr	lloc	noun	ca	Y
les États	Unis	properNoun	els Estats Units d'Amèrica	properNoun	ca	Y
génétique	noun	fr	genètica	noun	ca	Y
modalité	noun	fr	rang	noun	ca	N
Tananarive	properNoun	fr	Antananarivo	properNoun	ca	N
en bas	adverb	fr	al dessota	adverb	ca	Y
flanc	noun	fr	costat	noun	ca	Y
amas	noun	fr	pila	noun	ca	Y
file	noun	fr	columna	noun	ca	Y
Guyane	properNoun	fr	Guyana	properNoun	ca	N
cavité	noun	fr	forat	noun	ca	Y
augmentation	noun	fr	increment	noun	ca	Y
dessous	adverb	fr	al dessota	adverb	ca	Y
compatissant	adjective	fr	humà	adjective	ca	N
Maldives	properNoun	fr	les Maldives	properNoun	ca	N
voie	noun	fr	ferrocarril	noun	ca	Y
distant	adjective	fr	llunyà	adjective	ca	Y
soigner	verb	fr	tenir cura	verb	ca	Y
à nouveau	adverb	fr	una altra vegada	adverb	ca	Y
liaison	noun	fr	vincle	noun	ca	Y
clôture	noun	fr	tanca	noun	ca	Y
Ibérie	properNoun	fr	estat espanyol	properNoun	ca	N
Juliette	properNoun	fr	Julieta	properNoun	ca	Y
Ève	properNoun	fr	Eva	properNoun	ca	Y
douteux	adjective	fr	incert	adjective	ca	Y
vingt	trois	numeral	vint	i	tres	Y
Bernat	properNoun	fr	Bernardo	properNoun	ca	N
glace	noun	fr	gel	noun	ca	Y
Lucas	properNoun	fr	Lluc	properNoun	ca	Y
banc	noun	fr	banca	noun	ca	Y
fils	noun	fr	xic	noun	ca	Y
simple soldat	noun	fr	soldat	noun	ca	Y
membre de la suite	noun	fr	acompanyant	noun	ca	Y
superbe	adjective	fr	genial	adjective	ca	Y
futile	adjective	fr	frívol	adjective	ca	Y
Maroc	properNoun	fr	Marruecos	properNoun	ca	N
adresse	noun	fr	direcció	noun	ca	N
convention	noun	fr	concordança	noun	ca	N
Bassora	properNoun	fr	Bàssora	properNoun	ca	Y
diriger	verb	fr	adreçar	verb	ca	Y
juste	adjective	fr	adequat	adjective	ca	Y
recueillir	verb	fr	recopilar	verb	ca	Y
rapidement	adverb	fr	de pressa	adverb	ca	Y
degré	noun	fr	esglaó	noun	ca	N
Brossa	properNoun	fr	Bursa	properNoun	ca	N
pique	noun	fr	punta	noun	ca	Y
mer d'Aral	properNoun	fr	mar d'Aral	properNoun	ca	Y
poignet	noun	fr	puny	noun	ca	Y
renoncer	verb	fr	desistir	verb	ca	Y
Jacques	properNoun	fr	Jacob	properNoun	ca	N
Jorge	properNoun	fr	Georges	properNoun	ca	N
étable	noun	fr	quadra	noun	ca	Y
savant	adjective	fr	assenyat	adjective	ca	N
Torah	properNoun	fr	Torà	properNoun	ca	Y
provision	noun	fr	reserva	noun	ca	Y
là	adverb	fr	ençà	adverb	ca	N
domicile	noun	fr	casa	noun	ca	Y
ci	adverb	fr	ací	adverb	ca	Y
Arabie Saoudite	properNoun	fr	l'Aràbia Saudita	properNoun	ca	N
Polynésie Française	properNoun	fr	Polinèsia Francesa	properNoun	ca	Y
pouvoir	noun	fr	potència	noun	ca	N
